City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
214,Fortuna,40.5982,-124.1573,53.92,95,100,3.44,US,overcast clouds,2022-03-15 07:24:48
215,Port Hueneme,34.1478,-119.1951,65.17,85,0,3.44,US,mist,2022-03-15 07:24:48
216,Palmer,42.1584,-72.3287,45.01,66,40,12.66,US,scattered clouds,2022-03-15 07:24:48
217,Pitimbu,-7.4706,-34.8086,77.59,81,23,5.97,BR,few clouds,2022-03-15 07:24:49
218,Sitka,57.0531,-135.33,42.69,75,100,0.0,US,overcast clouds,2022-03-15 07:24:49
219,La Asuncion,11.0333,-63.8628,75.76,82,100,12.28,VE,overcast clouds,2022-03-15 07:24:50
220,Fallon,39.4735,-118.7774,52.92,43,0,5.75,US,clear sky,2022-03-15 07:24:50
221,Oga,46.4631,10.347,36.14,96,100,5.26,IT,overcast clouds,2022-03-15 07:24:50
222,Ribeira Grande,38.5167,-28.7,61.2,100,75,9.22,PT,broken clouds,2022-03-15 07:24:51
223,Sao Joao Da Barra,-21.6403,-41.0511,75.61,90,0,10.54,BR,clear sky,2022-03-15 07:24:51
224,Katsuura,35.1333,140.3,66.69,52,0,11.05,JP,clear sky,2022-03-15 07:24:52
225,San Policarpo,12.1791,125.5072,83.61,73,100,6.24,PH,overcast clouds,2022-03-15 07:24:52
226,Kalemie,-5.9475,29.1947,76.06,75,72,1.88,CD,broken clouds,2022-03-15 07:24:52
227,Pyaozerskiy,65.8333,31.1667,27.14,90,100,5.41,RU,overcast clouds,2022-03-15 07:24:53
228,Olinda,-8.0089,-34.8553,78.53,89,75,6.91,BR,broken clouds,2022-03-15 07:20:19
229,Hambantota,6.1241,81.1185,89.94,62,40,3.44,LK,scattered clouds,2022-03-15 07:24:54
230,Suez,29.9737,32.5263,52.27,52,25,14.41,EG,scattered clouds,2022-03-15 07:24:54
231,Asau,46.4333,26.4,31.28,65,12,3.91,RO,few clouds,2022-03-15 07:24:54
232,Grand-Santi,4.25,-54.3833,71.91,100,100,1.03,GF,overcast clouds,2022-03-15 07:24:55
233,Moindou,-21.6924,165.677,83.71,69,98,4.79,NC,overcast clouds,2022-03-15 07:24:55
234,Tucurui,-3.7661,-49.6725,72.9,99,100,3.44,BR,overcast clouds,2022-03-15 07:24:56
235,Biloela,-24.4167,150.5,82.53,42,100,14.7,AU,overcast clouds,2022-03-15 07:24:56
236,Praia,14.9215,-23.5087,66.74,68,40,24.16,CV,scattered clouds,2022-03-15 07:24:56
237,Hithadhoo,-0.6,73.0833,82.74,74,93,10.89,MV,overcast clouds,2022-03-15 07:24:57
238,Saint-Philippe,-21.3585,55.7679,86.22,83,45,11.32,RE,light rain,2022-03-15 07:24:57
239,Dakar,14.6937,-17.4441,64.53,94,0,13.8,SN,clear sky,2022-03-15 07:24:58
240,Kununurra,-15.7667,128.7333,98.58,47,40,2.3,AU,scattered clouds,2022-03-15 07:24:58
241,Narsaq,60.9167,-46.05,-10.37,70,27,6.33,GL,scattered clouds,2022-03-15 07:24:58
242,San-Pedro,4.7485,-6.6363,77.77,89,100,4.03,CI,overcast clouds,2022-03-15 07:24:59
243,Kvarkeno,52.0833,59.725,9.61,90,94,4.07,RU,overcast clouds,2022-03-15 07:24:59
244,Shiraz,29.6036,52.5388,72.84,18,40,18.41,IR,scattered clouds,2022-03-15 07:24:59
245,Byron Bay,-28.65,153.6167,75.09,72,36,14.61,AU,scattered clouds,2022-03-15 07:25:00
246,Teguldet,57.3064,88.1667,16.81,72,70,4.16,RU,broken clouds,2022-03-15 07:25:00
247,Vestmannaeyjar,63.4427,-20.2734,37.49,64,100,34.49,IS,light rain,2022-03-15 07:25:01
248,Yaan,7.3833,8.5667,80.15,63,96,7.56,NG,overcast clouds,2022-03-15 07:25:01
249,Cap Malheureux,-19.9842,57.6142,85.46,77,62,8.01,MU,broken clouds,2022-03-15 07:25:02
250,Beloha,-25.1667,45.05,84.85,53,100,5.59,MG,overcast clouds,2022-03-15 07:25:02
251,Touros,-5.1989,-35.4608,78.8,82,82,8.57,BR,light rain,2022-03-15 07:22:08
252,San Jose,37.3394,-121.895,59.92,57,75,6.91,US,broken clouds,2022-03-15 07:20:49
253,Dunedin,-45.8742,170.5036,51.8,96,100,7.0,NZ,overcast clouds,2022-03-15 07:23:05
254,Chitral,35.8462,71.7858,57.45,92,83,4.07,PK,broken clouds,2022-03-15 07:25:03
255,Beberibe,-4.1797,-38.1306,80.01,85,94,2.35,BR,moderate rain,2022-03-15 07:25:04
256,Husavik,66.0449,-17.3389,32.67,71,0,17.45,IS,clear sky,2022-03-15 07:25:04
